epoch,accuracy,loss,val_accuracy,val_loss
0,0.4039705693721771,1.55747652053833,0.7022058963775635,1.03792405128479
1,0.6105286478996277,0.995686411857605,0.5073529481887817,1.1844673156738281
2,0.6660718321800232,0.8617094159126282,0.6636029481887817,1.0157067775726318
3,0.7198304533958435,0.7548091411590576,0.59375,1.0993812084197998
4,0.7347758412361145,0.7217284440994263,0.6204044222831726,1.0210511684417725
5,0.7662279605865479,0.6106212735176086,0.795036792755127,0.655896782875061
6,0.793441891670227,0.5681466460227966,0.7867646813392639,0.6795721054077148
7,0.8032567501068115,0.5216130614280701,0.7610294222831726,0.7054080963134766
8,0.8264554738998413,0.4445507228374481,0.8207720518112183,0.5816700458526611
9,0.835378110408783,0.44340455532073975,0.8253676295280457,0.5651994943618774
10,0.8523310422897339,0.3975016474723816,0.7123161554336548,0.8683964014053345
11,0.8605844378471375,0.3476737439632416,0.8584558963775635,0.4766167402267456
12,0.8657149076461792,0.3406139016151428,0.8648896813392639,0.4819757342338562
13,0.8371626138687134,0.4164591133594513,0.7297794222831726,0.864477276802063
14,0.8489850759506226,0.3816152811050415,0.7215073704719543,0.7515757083892822
15,0.8532232642173767,0.41863441467285156,0.6966911554336548,0.9443167448043823
16,0.8866830468177795,0.30443045496940613,0.8125,0.610474705696106
17,0.8956056237220764,0.25968244671821594,0.8189338445663452,0.5648535490036011
