epoch,accuracy,loss,val_accuracy,val_loss
0,0.13071604073047638,54.55363464355469,0.02297794073820114,765037761265664.0
1,0.15101493895053864,112018023514112.0,0.15808823704719543,7072405520384.0
2,0.415569931268692,671829387640832.0,0.0882352963089943,5.602603912353516
3,0.07718046009540558,427030344630272.0,0.078125,659409684398080.0
4,0.0939103290438652,4537084018688.0,0.08272058516740799,2.112795114517212
5,0.23600268363952637,1022452196966400.0,0.4908088147640228,3.5362045764923096
6,0.14053089916706085,170453343666176.0,0.14430147409439087,4557886403379200.0
7,0.304037481546402,13633004240896.0,0.4954044222831726,2.176755905151367
8,0.23399509489536285,47201078214656.0,0.03216911852359772,450558477467648.0
9,0.10818648338317871,47493110824960.0,0.484375,1.8092442750930786
10,0.06981931626796722,nan,0.05882352963089943,nan
