epoch,accuracy,loss,val_accuracy,val_loss
0,0.5297791361808777,1.564483642578125,0.5091911554336548,1.489305853843689
1,0.6524648666381836,0.9518459439277649,0.6636029481887817,1.0504984855651855
2,0.701539158821106,0.8019657731056213,0.71875,0.824703574180603
3,0.7434753775596619,0.635564923286438,0.720588207244873,0.85911625623703
4,0.763105034828186,0.545153796672821,0.720588207244873,0.9235935807228088
5,0.806156575679779,0.4607491195201874,0.7647058963775635,0.7331052422523499
6,0.8237787485122681,0.4056278169155121,0.7693014740943909,0.7710102200508118
7,0.8460851907730103,0.3649650812149048,0.7876838445663452,0.6828717589378357
8,0.8632612228393555,0.30126139521598816,0.8235294222831726,0.5913082361221313
9,0.859246015548706,0.31639206409454346,0.8354779481887817,0.5762743949890137
10,0.874191403388977,0.2889783978462219,0.8308823704719543,0.6047512292861938
11,0.8819986581802368,0.26649656891822815,0.8060661554336548,0.6266260147094727
12,0.8766450881958008,0.28825464844703674,0.810661792755127,0.6905084252357483
13,0.8312059640884399,0.43160340189933777,0.8033088445663452,0.689371645450592
14,0.8496542572975159,0.4964630901813507,0.8161764740943909,0.6354285478591919
