,model,f1_score,recall_score,precision_score,test_loss,test_acc
9,MobileNetV2,0.8478952765735062,0.8481606760675513,0.8498271582662673,0.6495177745819092,0.916006326675415
8,MobileNet,0.8502536003363818,0.8603028781018545,0.842905114979583,0.34663885831832886,0.9049128293991089
0,ResNet50,0.803403196970783,0.8238849948889502,0.8008798722493424,0.4271272122859955,0.8748018741607666
14,NASNetLarge,0.8134029854614434,0.8203953121981856,0.8162991849741214,0.7943562865257263,0.8605388402938843
4,InceptionV3,0.7819662520212852,0.7749383844035427,0.8017679000737401,0.828902006149292,0.8478605151176453
11,InceptionResNetV2,0.7614772954461257,0.7854997135316469,0.7468180819674537,0.4957815110683441,0.8462757468223572
