epoch,accuracy,loss,val_accuracy,val_loss
0,0.38659241795539856,1.723932147026062,0.4366319477558136,1.4565670490264893
1,0.5031055808067322,1.2351937294006348,0.4357638955116272,1.472245693206787
2,0.5647890567779541,1.098678708076477,0.4678819477558136,1.5139579772949219
3,0.5776397585868835,26.093299865722656,0.3967013955116272,1.7753548622131348
4,0.5388734340667725,1.3002686500549316,0.5243055820465088,1.3327504396438599
5,0.553865909576416,37.135135650634766,0.4409722089767456,2.234402656555176
6,0.37288498878479004,163.2064208984375,0.4609375,2083.134033203125
7,0.3760976791381836,2532.90478515625,0.2126736044883728,14602.8349609375
8,0.16084814071655273,238.6573944091797,0.1857638955116272,106.94054412841797
9,0.13321910798549652,3477.812255859375,0.1258680522441864,2518.00732421875
